# gunzip -c exp/tri4a/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Fri Mar 12 15:00:39 CET 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 49.465648855% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 53.059613107% of the time at utterance end.  This may not be optimal.
At utterance begin, SIL accounts for 49.5% of phone occurrences, with duration (median, mean, 95-percentile) is (33,44.7,134) frames.
At utterance begin, nonsilence accounts for 48.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,12.6,46) frames.
At utterance begin, e_S accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,14.3,42) frames.
At utterance begin, s_B accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.6,18) frames.
At utterance begin, ei_S accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (37,43.6,109) frames.
At utterance begin, k_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.2,10) frames.
At utterance begin, m_B accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,11) frames.
At utterance begin, SPN_S accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,20.6,58) frames.
At utterance begin, d_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.1,17) frames.
At utterance begin, p_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,3.7,5) frames.
At utterance begin, t_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.8,8) frames.
At utterance begin, ɑ_S accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,10.3,26) frames.
At utterance begin, ɑ̃_S accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,12) frames.
At utterance begin, pp_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,10) frames.
