# gunzip -c exp/tri3a/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri3a/graph 
# Started at Fri Mar 12 14:57:46 CET 2021
#
At utterance begin, SIL accounts for 93.5% of phone occurrences, with duration (median, mean, 95-percentile) is (130,167.3,459) frames.
At utterance begin, nonsilence accounts for 6.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,13) frames.
At utterance begin, e_S accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.7,13) frames.
At utterance begin, m_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.2,3) frames.
At utterance begin, t_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,6) frames.
At utterance begin, nn_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,11) frames.
At utterance begin, kk_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.8,8) frames.
At utterance begin, l_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, ɑ̃_S accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.0,11) frames.
At utterance end, SIL accounts for 95.5% of phone occurrences, with duration (median, mean, 95-percentile) is (100,135.1,376) frames.
At utterance end, nonsilence accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.6,10) frames.
At utterance end, aa_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.8,10) frames.
At utterance end, ei_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.5,5) frames.
At utterance end, an_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,7) frames.
Overall, nonsilence accounts for 61.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.5,16) frames.
Overall, SIL accounts for 38.3% of phone occurrences, with duration (median, mean, 95-percentile) is (112,147.8,426) frames.
Overall, e_S accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.2,12) frames.
Overall, aa_E accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,14) frames.
Overall, kk_B accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,11) frames.
Overall, ɑ_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,21) frames.
Overall, pp_B accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,11) frames.
